user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
lukasabbat,6793522168434721797,6901534013782068486,#newhat,1606888669,7,https://www.tiktok.com/@lukasabbat/video/6901534013782068486?lang=en,88200,2349,1210,301500
quebochinche_mo,6785641671696614406,6892099801517788421,#foryoupage #foryou #fypシ #tiktoklatino #latino #latina #hispanic #yhlqmdlg #badbunny #parati #comedia #dakiti,1604692076,12,https://www.tiktok.com/@quebochinche_mo/video/6892099801517788421?lang=en,324900,25400,3669,1600000
felipe_campano,6700732214315123717,6901857497980603653,my mom and I are pissing ourselves I stg 💀💀 #latino #cuban #spanish #gay #lgbt,1606963956,19,https://www.tiktok.com/@felipe_campano/video/6901857497980603653?lang=en,31700,734,203,214300
ab_stinence,6725414457104811014,6901826256413740294,#stitch with @kristajaycams feeling brave today #fyp #foryoupage #ex #CashAppInBio #HomeCooked,1606956681,59,https://www.tiktok.com/@ab_stinence/video/6901826256413740294?lang=en,258800,6383,3867,1300000
ithinkichan,6737459277319685126,6901535250657070342,hire me 😥 #GiftOfGame #CashAppInBio #HappyHolidays,1606888956,5,https://www.tiktok.com/@ithinkichan/video/6901535250657070342?lang=en,69200,1375,448,289900
imjamiestone,6653535397409292294,6898863810921123078,Quickest way to lose yourself is to date a controlling narcissist. Finally free and happy 🥰 #FallGuysMoments #FamilyRecipe #fyp,1606266930,34,https://www.tiktok.com/@imjamiestone/video/6898863810921123078?lang=en,939400,4281,6237,3600000
sunnymucha,6721141223832224774,6897736128300862725,"Yeehaw, Nashville style",1606004371,10,https://www.tiktok.com/@sunnymucha/video/6897736128300862725?lang=en,13400,180,92,154900
monsi_re,6753765304227415045,6842758978305281285,"#greenscreen I also got the craziest vivid images and strange messages, it was so weird! 😬 #witchtok #qabalista #fyp",1593203979,59,https://www.tiktok.com/@monsi_re/video/6842758978305281285?lang=en,1100000,78000,12400,5700000
sheeensworld,6729998510002324486,6841043082683632901,photo hack 🤍 #LearnOnTikTok #TikTokPartner #photohacks101 #photoediting #photomagic #howto #photoeditingapps #snapseedediting,1592804469,10,https://www.tiktok.com/@sheeensworld/video/6841043082683632901?lang=en,70800,1648,110,542100
kristnvg,6774968889015272453,6844625124923018501,my user on spotify is kgordon573 for the full playlist (: #greenscreen #fyp #latinx #indie #spotify #latina #latinxindie #spotifyplaylist,1593638475,12,https://www.tiktok.com/@kristnvg/video/6844625124923018501?lang=en,161100,16600,2371,987100
mjhedderman,6719638373080253446,6901702215568772358,using the lens buddy app for the first time 😳 #instagramgf #contentcreator #selfphotoshoot,1606927817,54,https://www.tiktok.com/@mjhedderman/video/6901702215568772358?lang=en,46000,913,234,237400
torvas,6720751480443569158,6896903523032730886,The @oneo1one boys’ types.,1605810536,30,https://www.tiktok.com/@torvas/video/6896903523032730886?lang=en,643700,4168,3778,3300000
madisonmcaleer,6806060522736206854,6901478146185366786,no 🧢 #HappyHolidays #parati #feliznavidad,1606875602,8,https://www.tiktok.com/@madisonmcaleer/video/6901478146185366786?lang=en,98600,2078,826,509700
matthewlaureano,6675303425411318789,6899535412918816005,😈😈 #GivingThanks #fyp,1606423300,15,https://www.tiktok.com/@matthewlaureano/video/6899535412918816005?lang=en,840400,16000,8161,3900000
brroccoli99,6725520539102364678,6901115301778263301,Not me dr!nking and then choosing to bust out #ASL instead of talking,1606791149,8,https://www.tiktok.com/@brroccoli99/video/6901115301778263301?lang=en,999300,23600,5868,3300000
sydneyseale,20339325,6831729824625593605,#repost because it keeps getting deleted #trending #rainonme #pranks,1590636056,11,https://www.tiktok.com/@sydneyseale/video/6831729824625593605?lang=en,215900,5220,314,1400000
tala.exe,6746670876710749190,6881035836301806849,let’s ✨network✨ #csmajorsoftiktok #womeninstem #techtok #tech #stem #linkedin,1602116007,8,https://www.tiktok.com/@tala.exe/video/6881035836301806849?lang=en,1082,6,95,21300
astroli.na,6847728880175432709,6867209204868992262,making a honey 🍯 jar to keep them stuck and sweet to you 🔮 #witchtok #babywitch #lovespell #fy,1598896748,59,https://www.tiktok.com/@astroli.na/video/6867209204868992262?lang=en,1700000,117200,24200,8200000
twistedcolorlounge,6812384171424580614,6895072794564971781,#fyp #hair #pittsburghstylist #pittsburgh #expressieyourself #wella #wellahair #hairchange,1605384272,59,https://www.tiktok.com/@twistedcolorlounge/video/6895072794564971781?lang=en,889000,6679,3690,5000000
emobarbies,6826508588330238982,6880663653616569605,We’re all #brain #damaged #FallAesthetic #razrfit #therapy #mentalhealth #mentalhealthmatters #mentalhealthawareness #fyp #psychology,1602029379,53,https://www.tiktok.com/@emobarbies/video/6880663653616569605?lang=en,133200,1793,2426,424800
cherwolfie,6761330444626592773,6844815331664399621,My sewing adventures #fashion #sewing,1593682764,19,https://www.tiktok.com/@cherwolfie/video/6844815331664399621?lang=en,17200,160,159,143300
peachesandclean,6808330484683736069,6888868626846223618,#garlicconfit #delish,1603939719,20,https://www.tiktok.com/@peachesandclean/video/6888868626846223618?lang=en,702300,22100,2788,7400000
